RBD,NOM_RBD,NOM_COM_RBD,lon,lat,REGION,COD_REGION
1,LICEO POLITECNICO ARICA,ARICA,-70.294692,-18.4871859,Arica y Parinacota,15
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,ARICA,-70.3027753,-18.4869579,Arica y Parinacota,15
4,LICEO OCTAVIO PALMA PEREZ,ARICA,-70.3079199,-18.4741696,Arica y Parinacota,15
5,JOVINA NARANJO FERNANDEZ,ARICA,-70.3134525,-18.4768037,Arica y Parinacota,15
7,L. POLI. ANTONIO VARAS DE LA BARRA,ARICA,-70.2879497,-18.4759464,Arica y Parinacota,15
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,ARICA,-70.3173691,-18.4826722,Arica y Parinacota,15
9,ESCUELA REPUBLICA DE ISRAEL,ARICA,-70.3027753,-18.4869579,Arica y Parinacota,15
10,ESCUELA REPUBLICA DE FRANCIA,ARICA,-70.3089205,-18.4742235,Arica y Parinacota,15
11,ESC. GRAL. PEDRO LAGOS MARCHANT,ARICA,-70.3115916,-18.4911091,Arica y Parinacota,15
12,ESCUELA GRAL JOSE MIGUEL CARRERA,ARICA,-70.2939799,-18.4921091,Arica y Parinacota,15
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,ARICA,-70.284364,-18.4810937,Arica y Parinacota,15
14,ESCUELA ROMULO J. PENA MATURANA,ARICA,-70.2898409,-18.4812571,Arica y Parinacota,15
15,LICEO ARTISTICO DR. JUAN NOE CREVANI,ARICA,-70.3010027,-18.4721469,Arica y Parinacota,15
16,ESCUELA REGIMIENTO RANCAGUA,ARICA,-70.3088676,-18.4749112,Arica y Parinacota,15
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,ARICA,-70.2911681,-18.4674828,Arica y Parinacota,15
18,ESC. COMTE. JUAN JOSE SAN MARTIN,ARICA,-70.2873814,-18.4767764,Arica y Parinacota,15
19,ESC. HUMBERTO VALENZUELA GARCIA,ARICA,-70.2919,-18.4746942,Arica y Parinacota,15
20,ESCUELA TUCAPEL,ARICA,-70.2950403,-18.4799516,Arica y Parinacota,15
22,ESCUELA GABRIELA MISTRAL,ARICA,-70.2908709,-18.4477318,Arica y Parinacota,15
25,COLEGIO CENTENARIO DE ARICA,ARICA,-70.2931087,-18.4398155,Arica y Parinacota,15
26,ESCUELA REPUBLICA DE ARGENTINA,ARICA,-70.3039305,-18.4782974,Arica y Parinacota,15
27,ESCUELA ESMERALDA,ARICA,-70.3078845,-18.4832545,Arica y Parinacota,15
28,ESCUELA RICARDO SILVA ARRIAGADA,ARICA,-70.2944621,-18.4849429,Arica y Parinacota,15
29,ESCUELA AMERICA,ARICA,-70.282653,-18.4776808,Arica y Parinacota,15
31,ESCUELA DARIO SALAS DIAZ,ARICA,-70.2941695,-18.4829196,Arica y Parinacota,15
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,ARICA,-70.1784405,-18.5193336,Arica y Parinacota,15
33,ESCUELA CARLOS CONDELL DE LA HAZA,ARICA,-70.2253391,-18.4168696,Arica y Parinacota,15
35,ESCUELA GRAL. MANUEL BAQUEDANO,ARICA,-70.3185446,-18.4794324,Arica y Parinacota,15
36,ESCUELA IGNACIO CARRERA PINTO,ARICA,-70.2840039,-18.4966002,Arica y Parinacota,15
38,ESCUELA ESPAï¿½A,ARICA,-70.2908709,-18.4477318,Arica y Parinacota,15
39,ESCUELA PAMPA ALGODONAL,ARICA,-69.9654236,-18.5777823,Arica y Parinacota,15
41,ESCUELA VALLE DE CHACA,ARICA,-70.136249,-18.8281505,Arica y Parinacota,15
42,ESCUELA MOLINOS LLUTA,ARICA,-70.282653,-18.4776808,Arica y Parinacota,15
45,COLEGIO ITALIANO SANTA ANA,ARICA,-70.3141224,-18.4829848,Arica y Parinacota,15
50,COLEGIO ADVENTISTA DE ARICA,ARICA,-70.2670111,-18.4937911,Arica y Parinacota,15
52,LICEO DOMINGO SANTA MARIA,ARICA,-70.3031501,-18.4685725,Arica y Parinacota,15
56,COLEGIO SAN MARCOS DE ARICA,ARICA,-70.304394,-18.4705948,Arica y Parinacota,15
59,COLEGIO SAN JORGE,ARICA,-70.2715083,-18.4958311,Arica y Parinacota,15
60,COLEGIO ALEMAN DE ARICA,ARICA,-70.2803393,-18.49222,Arica y Parinacota,15
67,ABRAHAM LINCOLN SCHOOL,ARICA,-70.3148742,-18.4815407,Arica y Parinacota,15
69,JUNIOR COLLEGE,ARICA,-70.2913367,-18.4640657,Arica y Parinacota,15
70,ESCUELA VALLE DE ESQUINA,CAMARONES,-106.4169425,23.2368179,Arica y Parinacota,15
72,LICEO  VALLE DE CODPA,CAMARONES,-69.7438561,-18.833134,Arica y Parinacota,15
73,ESCUELA VALLE DE COBIJA,CAMARONES,-68.7810767,-11.0343921,Arica y Parinacota,15
74,ESCUELA VALLE DE CAMARONES,CAMARONES,-106.4169425,23.2368179,Arica y Parinacota,15
75,ESCUELA VALLE DE GUANACAGUA,CAMARONES,-69.7441721,-18.8329163,Arica y Parinacota,15
76,ESCUELA VALLE DE CUYA,CAMARONES,-70.136249,-18.8281505,Arica y Parinacota,15
78,LICEO GRANADEROS,PUTRE,-69.5618747,-18.1959229,Arica y Parinacota,15
79,ESCUELA EL MARQUEZ,PUTRE,-69.5618747,-18.1959229,Arica y Parinacota,15
81,ESCUELA PAYACHATAS,PUTRE,-69.5618747,-18.1959229,Arica y Parinacota,15
82,ESCUELA SAN FRANCISCO DE ASIS,PUTRE,-69.6024292,-18.2633526,Arica y Parinacota,15
83,ESCUELA COTA COTANI,PUTRE,-69.198865,-18.055528,Arica y Parinacota,15
84,ESCUELA LOS ALAMOS,PUTRE,-69.5618747,-18.1959229,Arica y Parinacota,15
86,ESCUELA SAN SANTIAGO DE BELEN,PUTRE,-69.4790589,-17.5947636,Arica y Parinacota,15
87,ESCUELA ANCOLACANE,GENERAL LAGOS,-60.566735,-33.110647,Arica y Parinacota,15
88,ESCUELA ALCERRECA,GENERAL LAGOS,-69.6598681,-17.9921672,Arica y Parinacota,15
89,ESCUELA HUMAPALCA,GENERAL LAGOS,-69.7042987,-17.8336252,Arica y Parinacota,15
90,ESCUELA INTERNADO VISVIRI,GENERAL LAGOS,-69.4790589,-17.5947636,Arica y Parinacota,15
91,ESCUELA COSAPILLA,GENERAL LAGOS,-69.4790589,-17.5947636,Arica y Parinacota,15
92,ESCUELA CHISLLUMA,GENERAL LAGOS,-69.6883907,-17.6970132,Arica y Parinacota,15
93,ESCUELA CHUJLLUTA,GENERAL LAGOS,-60.566735,-33.110647,Arica y Parinacota,15
94,ESCUELA GUACOYO,GENERAL LAGOS,-69.3658118,-17.7508582,Arica y Parinacota,15
95,ESCUELA COLPITAS,GENERAL LAGOS,-69.4545141,-17.9562255,Arica y Parinacota,15
