"","RBD","NOM_RBD","NOM_COM_RBD","query","lon","lat"
"1",1,"LICEO POLITECNICO ARICA","ARICA","LICEO POLITECNICO ARICA ,  ARICA",-70.294692,-18.4871859
"2",3,"ESC. PEDRO VICENTE GUTIERREZ TORRES","ARICA","ESC. PEDRO VICENTE GUTIERREZ TORRES ,  ARICA",-70.3027753,-18.4869579
"3",4,"LICEO OCTAVIO PALMA PEREZ","ARICA","LICEO OCTAVIO PALMA PEREZ ,  ARICA",-70.3079199,-18.4741696
"4",5,"JOVINA NARANJO FERNANDEZ","ARICA","JOVINA NARANJO FERNANDEZ ,  ARICA",-70.3134525,-18.4768037
"5",7,"L. POLI. ANTONIO VARAS DE LA BARRA","ARICA","L. POLI. ANTONIO VARAS DE LA BARRA ,  ARICA",-70.2879497,-18.4759464
"6",8,"COLEGIO INTEGRADO EDUARDO FREI MONTALVA","ARICA","COLEGIO INTEGRADO EDUARDO FREI MONTALVA ,  ARICA",-70.3173691,-18.4826722
"7",9,"ESCUELA REPUBLICA DE ISRAEL","ARICA","ESCUELA REPUBLICA DE ISRAEL ,  ARICA",-70.3027753,-18.4869579
"8",10,"ESCUELA REPUBLICA DE FRANCIA","ARICA","ESCUELA REPUBLICA DE FRANCIA ,  ARICA",-70.3089205,-18.4742235
"9",11,"ESC. GRAL. PEDRO LAGOS MARCHANT","ARICA","ESC. GRAL. PEDRO LAGOS MARCHANT ,  ARICA",-70.3115916,-18.4911091
"10",12,"ESCUELA GRAL JOSE MIGUEL CARRERA","ARICA","ESCUELA GRAL JOSE MIGUEL CARRERA ,  ARICA",-70.2939799,-18.4921091
"11",13,"ESCUELA MANUEL RODRIGUEZ ERDOYZA","ARICA","ESCUELA MANUEL RODRIGUEZ ERDOYZA ,  ARICA",-70.284364,-18.4810937
"12",14,"ESCUELA ROMULO J. PENA MATURANA","ARICA","ESCUELA ROMULO J. PENA MATURANA ,  ARICA",-70.2898409,-18.4812571
"13",15,"LICEO ARTISTICO DR. JUAN NOE CREVANI","ARICA","LICEO ARTISTICO DR. JUAN NOE CREVANI ,  ARICA",-70.3010027,-18.4721469
"14",16,"ESCUELA REGIMIENTO RANCAGUA","ARICA","ESCUELA REGIMIENTO RANCAGUA ,  ARICA",-70.3088676,-18.4749112
"15",17,"ESCUELA SUBTTE. LUIS CRUZ MARTINEZ","ARICA","ESCUELA SUBTTE. LUIS CRUZ MARTINEZ ,  ARICA",-70.2911681,-18.4674828
"16",18,"ESC. COMTE. JUAN JOSE SAN MARTIN","ARICA","ESC. COMTE. JUAN JOSE SAN MARTIN ,  ARICA",-70.2873814,-18.4767764
"17",19,"ESC. HUMBERTO VALENZUELA GARCIA","ARICA","ESC. HUMBERTO VALENZUELA GARCIA ,  ARICA",-70.2919,-18.4746942
"18",20,"ESCUELA TUCAPEL","ARICA","ESCUELA TUCAPEL ,  ARICA",-70.2950403,-18.4799516
"19",22,"ESCUELA GABRIELA MISTRAL","ARICA","ESCUELA GABRIELA MISTRAL ,  ARICA",-70.2908709,-18.4477318
"20",25,"COLEGIO CENTENARIO DE ARICA","ARICA","COLEGIO CENTENARIO DE ARICA ,  ARICA",-70.2931087,-18.4398155
"21",26,"ESCUELA REPUBLICA DE ARGENTINA","ARICA","ESCUELA REPUBLICA DE ARGENTINA ,  ARICA",-70.3039305,-18.4782974
"22",27,"ESCUELA ESMERALDA","ARICA","ESCUELA ESMERALDA ,  ARICA",-70.3078845,-18.4832545
"23",28,"ESCUELA RICARDO SILVA ARRIAGADA","ARICA","ESCUELA RICARDO SILVA ARRIAGADA ,  ARICA",-70.2944621,-18.4849429
"24",29,"ESCUELA AMERICA","ARICA","ESCUELA AMERICA ,  ARICA",-70.282653,-18.4776808
"25",31,"ESCUELA DARIO SALAS DIAZ","ARICA","ESCUELA DARIO SALAS DIAZ ,  ARICA",-70.2941695,-18.4829196
"26",32,"LICEO AGRICOLA JOSE ABELARDO NUNEZ M.","ARICA","LICEO AGRICOLA JOSE ABELARDO NUNEZ M. ,  ARICA",-70.1784405,-18.5193336
"27",33,"ESCUELA CARLOS CONDELL DE LA HAZA","ARICA","ESCUELA CARLOS CONDELL DE LA HAZA ,  ARICA",-70.2253391,-18.4168696
"28",35,"ESCUELA GRAL. MANUEL BAQUEDANO","ARICA","ESCUELA GRAL. MANUEL BAQUEDANO ,  ARICA",-70.3185446,-18.4794324
"29",36,"ESCUELA IGNACIO CARRERA PINTO","ARICA","ESCUELA IGNACIO CARRERA PINTO ,  ARICA",-70.2840039,-18.4966002
"30",38,"ESCUELA ESPA�A","ARICA","ESCUELA ESPAÑA ,  ARICA",-70.2908709,-18.4477318
"31",39,"ESCUELA PAMPA ALGODONAL","ARICA","ESCUELA PAMPA ALGODONAL ,  ARICA",-69.9654236,-18.5777823
"32",41,"ESCUELA VALLE DE CHACA","ARICA","ESCUELA VALLE DE CHACA ,  ARICA",-70.136249,-18.8281505
"33",42,"ESCUELA MOLINOS LLUTA","ARICA","ESCUELA MOLINOS LLUTA ,  ARICA",-70.282653,-18.4776808
"34",45,"COLEGIO ITALIANO SANTA ANA","ARICA","COLEGIO ITALIANO SANTA ANA ,  ARICA",-70.3141224,-18.4829848
"35",50,"COLEGIO ADVENTISTA DE ARICA","ARICA","COLEGIO ADVENTISTA DE ARICA ,  ARICA",-70.2670111,-18.4937911
"36",52,"LICEO DOMINGO SANTA MARIA","ARICA","LICEO DOMINGO SANTA MARIA ,  ARICA",-70.3031501,-18.4685725
"37",56,"COLEGIO SAN MARCOS DE ARICA","ARICA","COLEGIO SAN MARCOS DE ARICA ,  ARICA",-70.304394,-18.4705948
"38",59,"COLEGIO SAN JORGE","ARICA","COLEGIO SAN JORGE ,  ARICA",-70.2715083,-18.4958311
"39",60,"COLEGIO ALEMAN DE ARICA","ARICA","COLEGIO ALEMAN DE ARICA ,  ARICA",-70.2803393,-18.49222
"40",67,"ABRAHAM LINCOLN SCHOOL","ARICA","ABRAHAM LINCOLN SCHOOL ,  ARICA",-70.3148742,-18.4815407
"41",69,"JUNIOR COLLEGE","ARICA","JUNIOR COLLEGE ,  ARICA",-70.2913367,-18.4640657
"42",70,"ESCUELA VALLE DE ESQUINA","CAMARONES","ESCUELA VALLE DE ESQUINA ,  CAMARONES",-106.4169425,23.2368179
"43",72,"LICEO  VALLE DE CODPA","CAMARONES","LICEO  VALLE DE CODPA ,  CAMARONES",-69.7438561,-18.833134
"44",73,"ESCUELA VALLE DE COBIJA","CAMARONES","ESCUELA VALLE DE COBIJA ,  CAMARONES",-68.7810767,-11.0343921
"45",74,"ESCUELA VALLE DE CAMARONES","CAMARONES","ESCUELA VALLE DE CAMARONES ,  CAMARONES",-106.4169425,23.2368179
"46",75,"ESCUELA VALLE DE GUANACAGUA","CAMARONES","ESCUELA VALLE DE GUANACAGUA ,  CAMARONES",-69.7441721,-18.8329163
"47",76,"ESCUELA VALLE DE CUYA","CAMARONES","ESCUELA VALLE DE CUYA ,  CAMARONES",-70.136249,-18.8281505
"48",78,"LICEO GRANADEROS","PUTRE","LICEO GRANADEROS ,  PUTRE",-69.5618747,-18.1959229
"49",79,"ESCUELA EL MARQUEZ","PUTRE","ESCUELA EL MARQUEZ ,  PUTRE",-69.5618747,-18.1959229
"50",81,"ESCUELA PAYACHATAS","PUTRE","ESCUELA PAYACHATAS ,  PUTRE",-69.5618747,-18.1959229
"51",82,"ESCUELA SAN FRANCISCO DE ASIS","PUTRE","ESCUELA SAN FRANCISCO DE ASIS ,  PUTRE",-69.6024292,-18.2633526
"52",83,"ESCUELA COTA COTANI","PUTRE","ESCUELA COTA COTANI ,  PUTRE",-69.198865,-18.055528
"53",84,"ESCUELA LOS ALAMOS","PUTRE","ESCUELA LOS ALAMOS ,  PUTRE",-69.5618747,-18.1959229
"54",86,"ESCUELA SAN SANTIAGO DE BELEN","PUTRE","ESCUELA SAN SANTIAGO DE BELEN ,  PUTRE",-69.4790589,-17.5947636
"55",87,"ESCUELA ANCOLACANE","GENERAL LAGOS","ESCUELA ANCOLACANE ,  GENERAL LAGOS",-60.566735,-33.110647
"56",88,"ESCUELA ALCERRECA","GENERAL LAGOS","ESCUELA ALCERRECA ,  GENERAL LAGOS",-69.6598681,-17.9921672
"57",89,"ESCUELA HUMAPALCA","GENERAL LAGOS","ESCUELA HUMAPALCA ,  GENERAL LAGOS",-69.7042987,-17.8336252
"58",90,"ESCUELA INTERNADO VISVIRI","GENERAL LAGOS","ESCUELA INTERNADO VISVIRI ,  GENERAL LAGOS",-69.4790589,-17.5947636
"59",91,"ESCUELA COSAPILLA","GENERAL LAGOS","ESCUELA COSAPILLA ,  GENERAL LAGOS",-69.4790589,-17.5947636
"60",92,"ESCUELA CHISLLUMA","GENERAL LAGOS","ESCUELA CHISLLUMA ,  GENERAL LAGOS",-69.6883907,-17.6970132
"61",93,"ESCUELA CHUJLLUTA","GENERAL LAGOS","ESCUELA CHUJLLUTA ,  GENERAL LAGOS",-60.566735,-33.110647
"62",94,"ESCUELA GUACOYO","GENERAL LAGOS","ESCUELA GUACOYO ,  GENERAL LAGOS",-69.3658118,-17.7508582
"63",95,"ESCUELA COLPITAS","GENERAL LAGOS","ESCUELA COLPITAS ,  GENERAL LAGOS",-69.4545141,-17.9562255
"64",97,"INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY","IQUIQUE","INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY ,  IQUIQUE",-70.1531,-20.220035
"65",103,"ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA","IQUIQUE","ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA ,  IQUIQUE",-70.1383053,-20.2208443
"66",106,"INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL","IQUIQUE","INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL ,  IQUIQUE",-70.1264572,-20.2943058
"67",107,"LICEO LIBERT. GRAL.BERNARDO O�HIGGINS","IQUIQUE","LICEO LIBERT. GRAL.BERNARDO OÑHIGGINS ,  IQUIQUE",-70.1522166,-20.2198139
"68",108,"LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN","IQUIQUE","LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN ,  IQUIQUE",-70.1487297,-20.2254659
"69",109,"LICEO ELENA DUVAUCHELLE CABEZON","IQUIQUE","LICEO ELENA DUVAUCHELLE CABEZON ,  IQUIQUE",-70.1531714,-20.2169387
"70",110,"LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.","IQUIQUE","LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ. ,  IQUIQUE",-70.1467326,-20.217604
"71",111,"ESCUELA GABRIELA MISTRAL","IQUIQUE","ESCUELA GABRIELA MISTRAL ,  IQUIQUE",-70.1417135,-20.2257982
"72",112,"ESCUELA EDUARDO LLANOS","IQUIQUE","ESCUELA EDUARDO LLANOS ,  IQUIQUE",-70.1357802,-20.2146638
"73",113,"ESCUELA ALMIRANTE PATRICIO LYNCH","IQUIQUE","ESCUELA ALMIRANTE PATRICIO LYNCH ,  IQUIQUE",-70.1375756,-20.2321998
"74",114,"ESCUELA PLACIDO VILLARROEL","IQUIQUE","ESCUELA PLACIDO VILLARROEL ,  IQUIQUE",-70.1441852,-20.2205175
"75",116,"COLEGIO REPUBLICA DE CROACIA","IQUIQUE","COLEGIO REPUBLICA DE CROACIA ,  IQUIQUE",-70.1350917,-20.2273547
"76",117,"ESCUELA PAULA JARAQUEMADA ALQUIZAR","IQUIQUE","ESCUELA PAULA JARAQUEMADA ALQUIZAR ,  IQUIQUE",-70.1460224,-20.2203601
"77",119,"ESCUELA CENTENARIO","IQUIQUE","ESCUELA CENTENARIO ,  IQUIQUE",-70.145106,-20.2135898
"78",122,"ESCUELA THILDA PORTILLO OLIVARES","IQUIQUE","ESCUELA THILDA PORTILLO OLIVARES ,  IQUIQUE",-70.1411735,-20.2359443
"79",123,"COLEGIO ESPANA","IQUIQUE","COLEGIO ESPANA ,  IQUIQUE",-70.128888,-20.2398681
"80",124,"LICEO LUIS CRUZ MARTINEZ","IQUIQUE","LICEO LUIS CRUZ MARTINEZ ,  IQUIQUE",-70.1378385,-20.2419335
"81",125,"ESCUELA PROFESOR MANUEL CASTRO RAMOS","IQUIQUE","ESCUELA PROFESOR MANUEL CASTRO RAMOS ,  IQUIQUE",-70.1385337,-20.2455992
